E (meV)	EVR84_360K_0.35A-1	err	E (meV)	EVR84_360K_0.45A-1	err	E (meV)	EVR84_360K_0.55A-1	err	E (meV)	EVR84_360K_0.65A-1	err	E (meV)	EVR84_360K_0.75A-1	err	E (meV)	EVR84_360K_0.85A-1	err	E (meV)	EVR84_360K_0.95A-1	err	E (meV)	EVR84_360K_1.05A-1	err	E (meV)	EVR84_360K_1.15A-1	err	E (meV)	EVR84_360K_1.25A-1	err	E (meV)	EVR84_360K_1.35A-1	err	E (meV)	EVR84_360K_1.45A-1	err	E (meV)	EVR84_360K_1.55A-1	err	E (meV)	EVR84_360K_1.65A-1	err	E (meV)	EVR84_360K_1.75A-1	err	E (meV)	EVR84_360K_1.85A-1	err
-1.0	-1.123856	0.55799476	-1.0	2.3765656	0.73151152	-1.0	1.6619356	0.63783162	-1.0	2.4423281	0.72652253	-1.0	1.7462942	0.64753409	-1.0	2.6362687	0.68631369	-1.0	2.5563315	0.85302112	-1.0	3.5072996	0.71047444	-1.0	4.4289512	0.79563975	-1.0	3.9312836	0.82185272	-1.0	6.5726937	1.3678795	-1.0	4.8936824	0.81308305	-1.0	4.8772668	0.77015005	-1.0	4.4301229	0.67363579	-1.0	4.6505585	0.64914667	-1.0	4.38387	0.65660528
-0.9941	-1.1237297	0.55793204	-0.9941	2.4568901	0.74183858	-0.9941	1.6246414	0.64033448	-0.9941	2.5188601	0.72291954	-0.9941	1.8787421	0.65886309	-0.9941	2.8343408	0.69888328	-0.9941	2.4892578	0.83647834	-0.9941	3.4217026	0.72852526	-0.9941	4.2002421	0.78419267	-0.9941	3.9396155	0.82914697	-0.9941	6.328195	1.3444704	-0.9941	5.0012559	0.80809692	-0.9941	4.7520584	0.76183029	-0.9941	4.5386113	0.67353013	-0.9941	4.7100237	0.66107576	-0.9941	4.3786533	0.66384462
-0.9882	-1.1236034	0.55786935	-0.9882	1.8128831	0.77356699	-0.9882	1.7520139	0.61139614	-0.9882	2.2702458	0.77670644	-0.9882	2.2984364	0.68366521	-0.9882	4.1561527	0.80156704	-0.9882	3.3163645	0.73984727	-0.9882	2.4455259	0.83618044	-0.9882	3.2587504	0.83017399	-0.9882	3.7817753	0.80882566	-0.9882	3.2573236	1.1528421	-0.9882	5.619356	0.81388962	-0.9882	4.1565283	0.68047359	-0.9882	4.4499976	0.64599534	-0.9882	5.7546432	0.73883653	-0.9882	4.504002	0.68358477
-0.9823	-1.1234773	0.55780671	-0.9823	2.0264975	0.74344101	-0.9823	1.918412	0.62630456	-0.9823	2.1720946	0.7285143	-0.9823	2.1034896	0.64431753	-0.9823	3.5741808	0.79518191	-0.9823	3.6750751	0.7684215	-0.9823	2.883729	0.81696846	-0.9823	3.3895665	0.7970245	-0.9823	3.541954	0.78481782	-0.9823	3.6839482	1.2034251	-0.9823	5.1139909	0.7933278	-0.9823	4.4318868	0.74000721	-0.9823	4.499503	0.67803407	-0.9823	5.1710023	0.70900675	-0.9823	4.5829916	0.66361281
-0.9764	-1.1233512	0.55774412	-0.9764	2.3434669	0.70517558	-0.9764	2.1742724	0.64747925	-0.9764	1.9918617	0.65083346	-0.9764	1.7744934	0.58021042	-0.9764	2.7935976	0.78763407	-0.9764	4.2165761	0.81073167	-0.9764	3.4734916	0.78671843	-0.9764	3.5492237	0.74247455	-0.9764	3.2853211	0.75538653	-0.9764	4.1955411	1.2696585	-0.9764	4.4395341	0.76728599	-0.9764	4.8319466	0.81657668	-0.9764	4.568313	0.71993068	-0.9764	4.3446543	0.66621876	-0.9764	4.6923756	0.63361032
-0.9705	-1.1232252	0.55768156	-0.9705	2.184	0.67216232	-0.9705	2.1385363	0.65482074	-0.9705	1.4929829	0.69664794	-0.9705	2.5667301	0.73967019	-0.9705	3.1029571	0.74088652	-0.9705	3.2091573	0.72407639	-0.9705	3.5956289	0.80544359	-0.9705	3.2899321	0.76054295	-0.9705	4.2259238	0.82343873	-0.9705	4.3835373	1.076318	-0.9705	4.502978	0.76426139	-0.9705	4.2640181	0.73407321	-0.9705	4.9542204	0.71221744	-0.9705	5.0989121	0.70076199	-0.9705	4.5112503	0.62695311
-0.9646	-1.1230993	0.55761905	-0.9646	2.1009245	0.65851196	-0.9646	2.1336318	0.65498077	-0.9646	1.2744173	0.71630735	-0.9646	2.9155183	0.80361751	-0.9646	3.2501212	0.71622193	-0.9646	2.7555643	0.6810331	-0.9646	3.6562731	0.81684322	-0.9646	3.193062	0.76513004	-0.9646	4.6127631	0.85281829	-0.9646	4.4915459	0.97873272	-0.9646	4.542768	0.76377259	-0.9646	3.9718784	0.69036507	-0.9646	5.1599705	0.71411775	-0.9646	5.4479306	0.71394088	-0.9646	4.3744653	0.62241928
-0.9587	-1.1229735	0.55755658	-0.9587	1.5378765	0.71725468	-0.9587	1.1101555	0.61314627	-0.9587	1.9908231	0.76228462	-0.9587	2.4693521	0.67590707	-0.9587	3.1695691	0.69769845	-0.9587	2.671696	0.65665793	-0.9587	3.0661733	0.87965616	-0.9587	4.1375042	0.73536065	-0.9587	4.0443946	0.81792153	-0.9587	4.4575994	1.3421184	-0.9587	3.2957796	0.74056848	-0.9587	4.4779086	0.7993653	-0.9587	4.9806931	0.7527561	-0.9587	4.1911885	0.59770831	-0.9587	4.9086786	0.64320833
-0.9528	-1.1228477	0.55749416	-0.9528	1.7720629	0.76467296	-0.9528	1.4333758	0.61485821	-0.9528	1.975473	0.75687872	-0.9528	2.4991858	0.68508298	-0.9528	3.0515296	0.70915004	-0.9528	2.7140874	0.67938595	-0.9528	3.2869505	0.87015986	-0.9528	4.0127338	0.76844189	-0.9528	3.9238045	0.84947047	-0.9528	4.1571886	1.2608057	-0.9528	3.7869603	0.77568191	-0.9528	4.5278009	0.78157971	-0.9528	5.1165427	0.7505736	-0.9528	4.4664583	0.63181516	-0.9528	4.9485727	0.64999626
-0.9469	-1.1227221	0.55743178	-0.9469	2.3819792	0.87636337	-0.9469	2.3490288	0.62020674	-0.9469	1.8587122	0.74227345	-0.9469	2.628155	0.71646221	-0.9469	2.6928883	0.73627525	-0.9469	2.8337706	0.73972555	-0.9469	3.9401491	0.8446064	-0.9469	3.6574573	0.8484793	-0.9469	3.5657784	0.90095774	-0.9469	3.3434131	1.0211397	-0.9469	5.1638369	0.85925025	-0.9469	4.6389598	0.73510771	-0.9469	5.4584806	0.7398701	-0.9469	5.2116217	0.71926547	-0.9469	5.1429805	0.67011373
