E- (meV)	EVR84_40K_0.35A-1	E+ (meV)	EVR84_40K_0.35A-1	E- (meV)	EVR84_40K_0.45A-1	E+ (meV)	EVR84_40K_0.45A-1	E- (meV)	EVR84_40K_0.55A-1	E+ (meV)	EVR84_40K_0.55A-1	E- (meV)	EVR84_40K_0.65A-1	E+ (meV)	EVR84_40K_0.65A-1	E- (meV)	EVR84_40K_0.75A-1	E+ (meV)	EVR84_40K_0.75A-1	E- (meV)	EVR84_40K_0.85A-1	E+ (meV)	EVR84_40K_0.85A-1	E- (meV)	EVR84_40K_0.95A-1	E+ (meV)	EVR84_40K_0.95A-1	E- (meV)	EVR84_40K_1.05A-1	E+ (meV)	EVR84_40K_1.05A-1	E- (meV)	EVR84_40K_1.15A-1	E+ (meV)	EVR84_40K_1.15A-1	E- (meV)	EVR84_40K_1.25A-1	E+ (meV)	EVR84_40K_1.25A-1	E- (meV)	EVR84_40K_1.35A-1	E+ (meV)	EVR84_40K_1.35A-1	E- (meV)	EVR84_40K_1.45A-1	E+ (meV)	EVR84_40K_1.45A-1	E- (meV)	EVR84_40K_1.55A-1	E+ (meV)	EVR84_40K_1.55A-1	E- (meV)	EVR84_40K_1.65A-1	E+ (meV)	EVR84_40K_1.65A-1	E- (meV)	EVR84_40K_1.75A-1	E+ (meV)	EVR84_40K_1.75A-1	E- (meV)	EVR84_40K_1.85A-1	E+ (meV)	EVR84_40K_1.85A-1
0.0028999625	2.688880368590582	0.0030000377	2.880852674271437	0.0028999625	2.62725781426009	0.0030000377	2.8832047758277377	0.0028999625	2.5893622062416255	0.0030000377	2.8498711292891485	0.0028999625	2.612545798674327	0.0030000377	2.7693317392340955	0.0028999625	2.6616317625180814	0.0030000377	2.8311535281872144	0.0028999625	2.598322111447286	0.0030000377	2.7701388221873557	0.0028999625	2.5926283847046134	0.0030000377	2.736208267700944	0.0028999625	2.632978881890944	0.0030000377	2.7043745710288594	0.0028999625	2.5926408917066532	0.0030000377	2.696239377109028	0.0028999625	2.5724369801320686	0.0030000377	2.642781241486723	0.0028999625	2.6219000314094236	0.0030000377	2.6823054028603712	0.0028999625	2.6001207135313584	0.0030000377	2.6545532009362725	0.0028999625	2.5919681577829685	0.0030000377	2.6934582889616547	0.0028999625	2.534117905649182	0.0030000377	2.567940846462075	0.0028999625	2.4039606026746845	0.0030000377	2.424866876278115	0.0028999625	-0.004267051169033566	0.0030000377	-0.004410118810974741
0.0087999627	6.60948216653635	0.008900038	8.320411228801063	0.0087999627	6.411951772750657	0.008900038	7.8198205016414954	0.0087999627	6.518779410931724	0.008900038	7.732581564086774	0.0087999627	6.73742824439296	0.008900038	7.384184066204235	0.0087999627	7.013243392764506	0.008900038	7.536207737777016	0.0087999627	6.883450499440022	0.008900038	7.567039533913703	0.0087999627	6.749347138652899	0.008900038	7.215282638573059	0.0087999627	6.934969720516982	0.008900038	7.376500663746456	0.0087999627	7.023277968281208	0.008900038	7.243441126213555	0.0087999627	7.319760232115163	0.008900038	6.9601003189726605	0.0087999627	7.237794695681473	0.008900038	7.192640811700014	0.0087999627	7.272803802464838	0.008900038	7.248506227189566	0.0087999627	7.276698923160513	0.008900038	7.1220826905099335	0.0087999627	7.049782344078161	0.008900038	6.840262474816465	0.0087999627	6.868100818399061	0.008900038	6.332970532301995	0.0087999627	-0.012960697505298557	0.008900038	-0.013070847778776686
0.014699963	7.969691476919266	0.014800038	11.176884189410252	0.014699963	7.632057226690503	0.014800038	10.664142311800434	0.014699963	7.713594016276344	0.014800038	10.518931416596947	0.014699963	8.499847029471196	0.014800038	9.944054556805188	0.014699963	8.65129831289652	0.014800038	10.250888094093737	0.014699963	8.443573490811623	0.014800038	10.279962415817105	0.014699963	8.736508297346553	0.014800038	9.85776975955055	0.014699963	9.122538145279544	0.014800038	9.84286984940161	0.014699963	9.4501557630919	0.014800038	9.649382206197007	0.014699963	9.44464811901982	0.014800038	9.216765387202605	0.014699963	9.770005939231506	0.014800038	9.670045724687434	0.014699963	9.736467325871786	0.014800038	9.721155416751216	0.014699963	10.098856906266118	0.014800038	9.273116301714053	0.014699963	9.949203149445143	0.014800038	9.139725245438626	0.014699963	9.440609994568641	0.014800038	8.447004131199245	0.014699963	-0.021670854802386706	0.014800038	-0.02171516972744144
0.020599963	6.645801832854076	0.020700038	11.064830416705973	0.020599963	6.975560706444644	0.020700038	10.543147831490018	0.020599963	7.052315282544959	0.020700038	10.326668945911614	0.020599963	7.960302734299225	0.020700038	9.357915201943317	0.020599963	8.3460384080722	0.020700038	10.066552207747312	0.020599963	7.989799432644983	0.020700038	10.370828771130222	0.020599963	8.300627699002193	0.020700038	9.847509166879133	0.020599963	8.99854429614748	0.020700038	9.84349665509499	0.020599963	9.00795169331391	0.020700038	9.797052376678444	0.020599963	9.70065934632795	0.020700038	9.412634298398867	0.020599963	9.980500976666635	0.020700038	9.58865174647195	0.020599963	9.801497732949704	0.020700038	9.883810999771923	0.020599963	10.522258848424253	0.020700038	9.669792439251486	0.020599963	10.827863482184785	0.020700038	9.167606801530459	0.020599963	10.269182991743449	0.020700038	8.733774561627893	0.020599963	-0.03039755699562397	0.020700038	-0.030343119343581238
0.026499963	4.850333916588521	0.026600039	9.080879586507796	0.026499963	4.8918176361688595	0.026600039	8.388860522327764	0.026499963	5.09533511863935	0.026600039	8.775876494940475	0.026499963	6.058102039719477	0.026600039	7.481915313066048	0.026499963	6.201367291389662	0.026600039	7.866884054905883	0.026499963	6.235095331640402	0.026600039	8.272601626738812	0.026499963	6.367038620147702	0.026600039	8.197303285881961	0.026499963	6.923438542291383	0.026600039	8.327436837025044	0.026499963	7.513627603572605	0.026600039	8.268845029514317	0.026499963	7.732897688322808	0.026600039	7.838125739412925	0.026499963	8.530299259990711	0.026600039	7.854575312331735	0.026499963	8.426998499231388	0.026600039	8.527360502120684	0.026499963	8.933952934950119	0.026600039	8.014016359429911	0.026499963	9.561836130094484	0.026600039	8.041826771090909	0.026499963	9.408883795395202	0.026600039	7.302287657661607	0.026499963	-0.03914083912380959	0.026600039	-0.03895473467771582
0.032399964	2.50648521457101	0.032500039	6.26802844092439	0.032399964	2.9080257625309414	0.032500039	5.63873372994509	0.032399964	2.8104163840365355	0.032500039	5.786051996971662	0.032399964	3.6668369858094136	0.032500039	5.25471405271523	0.032399964	3.8336134694117714	0.032500039	5.322611101520366	0.032399964	3.856465196118822	0.032500039	5.648872546139586	0.032399964	4.053656354228723	0.032500039	5.51710862059616	0.032399964	4.574485366266315	0.032500039	5.628728466636204	0.032399964	5.102327557861714	0.032500039	5.849126695776991	0.032399964	5.072576284212587	0.032500039	5.361665738952318	0.032399964	6.013957826923629	0.032500039	5.669544056354569	0.032399964	6.163497755843262	0.032500039	6.251664822021822	0.032399964	6.873873091501121	0.032500039	5.84750253938224	0.032399964	6.99212370113208	0.032500039	5.84091334072138	0.032399964	7.176332258722036	0.032500039	5.545900617966166	0.032399964	-0.04790074030561169	0.032500039	-0.04755004556849659
0.038299964	1.192851840251996	0.038400039	3.77577222645666	0.038299964	1.4804388467170444	0.038400039	3.5328785004665	0.038299964	1.4340544140982996	0.038400039	3.850578312410482	0.038299964	2.0054551152510287	0.038400039	3.122742981214796	0.038299964	1.9769177775953475	0.038400039	3.2493070727598985	0.038299964	2.0871821222560305	0.038400039	3.6851187384550683	0.038299964	2.1766343862871067	0.038400039	3.2345857958096564	0.038299964	2.7661915703801796	0.038400039	3.3703846630610492	0.038299964	3.0795356349310814	0.038400039	3.6331905054607714	0.038299964	3.162109088689446	0.038400039	3.184475247613961	0.038299964	3.688786799444967	0.038400039	3.4844651448859567	0.038299964	3.8594833845183065	0.038400039	4.189578650406461	0.038299964	4.5175018377264635	0.038400039	4.023514179238937	0.038299964	4.653466866852452	0.038400039	3.9299030292646666	0.038299964	4.834867770472604	0.038400039	3.4476747952647413	0.038299964	-0.056677290429129785	0.038400039	-0.056129087513447855
0.044199964	0.6674784760851307	0.044300039	2.173843347443988	0.044199964	0.8254685888053389	0.044300039	2.105570429020539	0.044199964	0.7810090756929903	0.044300039	1.9143261749824128	0.044199964	0.9628854300228117	0.044300039	1.7897352177010128	0.044199964	1.0415549790523435	0.044300039	2.0681226755362676	0.044199964	1.1042223468797017	0.044300039	2.2571757947236795	0.044199964	1.2387360365239488	0.044300039	1.9831720107005821	0.044199964	1.4622556381386014	0.044300039	2.1041719347348473	0.044199964	1.4436814685787613	0.044300039	2.327933788549514	0.044199964	1.6694609104613902	0.044300039	1.9098830069928117	0.044199964	1.8987391355038972	0.044300039	2.0417101893251557	0.044199964	2.29755006010882	0.044300039	2.4264979487782252	0.044199964	2.616295019980209	0.044300039	2.217370659678427	0.044199964	2.8255130575666136	0.044300039	2.2767859260989867	0.044199964	2.999631645981707	0.044300039	2.2191341425186573	0.044199964	-0.0654705257866593	0.044300039	-0.06469189849168153
0.050099964	0.4545117733881578	0.05020004	1.3376067696020937	0.050099964	0.4674746521000163	0.05020004	1.1480105136973855	0.050099964	0.5162269233675074	0.05020004	1.0921999938498994	0.050099964	0.5591815665768246	0.05020004	1.124328099974997	0.050099964	0.608978991296698	0.05020004	1.250489774961513	0.050099964	0.6629822813001734	0.05020004	1.2856242459825475	0.050099964	0.863761489179686	0.05020004	1.0573332831639943	0.050099964	0.8062576273414852	0.05020004	1.2602887131088383	0.050099964	0.7977241009576235	0.05020004	1.1845117206783937	0.050099964	0.9896594514959524	0.05020004	1.0535726017480413	0.050099964	1.1221815331957397	0.05020004	1.280148626616951	0.050099964	1.3180312301785564	0.05020004	1.1886072047118597	0.050099964	1.4517680963623847	0.05020004	1.35219809539983	0.050099964	1.5756600613403267	0.05020004	1.452260291613308	0.050099964	1.7115548016701094	0.05020004	1.2473995163693956	0.050099964	-0.07428048125822695	0.05020004	-0.0732385108994159
0.055999964	0.4128480281740887	0.05610004	1.002204596697505	0.055999964	0.4475366829901671	0.05610004	0.7914565569923155	0.055999964	0.4000308753545688	0.05610004	0.8254387102767595	0.055999964	0.41475000731318773	0.05610004	0.758591083559368	0.055999964	0.5908336100992688	0.05610004	0.6541526089370681	0.055999964	0.48729918777025255	0.05610004	0.8585922037331719	0.055999964	0.4515216177240769	0.05610004	0.7844363034850033	0.055999964	0.5534961980587083	0.05610004	0.6981579503281118	0.055999964	0.5763143801715263	0.05610004	0.7709351683579554	0.055999964	0.6422942969264889	0.05610004	0.7787161720593111	0.055999964	0.6949774791717532	0.05610004	0.7861820730302941	0.055999964	0.794859697725766	0.05610004	0.7860421964279494	0.055999964	0.7989333788965604	0.05610004	0.958013733692474	0.055999964	0.9535614512728946	0.05610004	0.8737118095397074	0.055999964	1.0520980398211295	0.05610004	0.7288394621039994	0.055999964	-0.08310719179443561	0.05610004	-0.08176895566501945
