E (meV)	but_OD_250K_0.29A-1	err	E (meV)	but_OD_250K_0.44A-1	err	E (meV)	but_OD_250K_0.59A-1	err	E (meV)	but_OD_250K_0.71A-1	err	E (meV)	but_OD_250K_0.84A-1	err	E (meV)	but_OD_250K_0.95A-1	err	E (meV)	but_OD_250K_1.07A-1	err	E (meV)	but_OD_250K_1.18A-1	err	E (meV)	but_OD_250K_1.29A-1	err	E (meV)	but_OD_250K_1.39A-1	err	E (meV)	but_OD_250K_1.48A-1	err	E (meV)	but_OD_250K_1.57A-1	err	E (meV)	but_OD_250K_1.65A-1	err	E (meV)	but_OD_250K_1.72A-1	err	E (meV)	but_OD_250K_1.79A-1	err	E (meV)	but_OD_250K_1.84A-1	err	E (meV)	but_OD_250K_1.89A-1	err	E (meV)	but_OD_250K_1.93A-1	err
-0.142619	0.5525399	0.1733913	-0.142619	0.8947498	0.2172902	-0.142619	1.105781	0.389616	-0.142619	1.468985	0.3040023	-0.142619	1.493892	0.2756616	-0.142619	1.411969	0.2502701	-0.142619	1.529501	0.2505942	-0.142619	1.590305	0.2482112	-0.142619	1.805665	0.2707208	-0.142619	1.630107	0.2778477	-0.142619	1.7337	0.2745389	-0.142619	1.571259	0.2455663	-0.142619	1.668817	0.2698849	-0.142619	1.338308	0.2273641	-0.142619	1.250461	0.2303601	-0.142619	1.265474	0.280857	-0.142619	1.766163	0.5292593	-0.142619	0.7551262	0.7865515
-0.142019	0.2607008	0.1404278	-0.142019	0.7372253	0.2010661	-0.142019	1.270274	0.4164362	-0.142019	1.187515	0.2729459	-0.142019	1.622741	0.2867603	-0.142019	1.369639	0.2460199	-0.142019	1.430304	0.2414884	-0.142019	1.673411	0.25407	-0.142019	1.838108	0.2772034	-0.142019	1.607131	0.2738039	-0.142019	1.705056	0.2715905	-0.142019	1.596686	0.2470163	-0.142019	1.590162	0.2628174	-0.142019	1.340627	0.2269382	-0.142019	1.738556	0.2713296	-0.142019	1.472977	0.3024611	-0.142019	1.519633	0.4896707	-0.142019	1.260022	1.095574
-0.141419	0.1371297	0.1519651	-0.141419	0.5232904	0.1946852	-0.141419	0.752316	0.3204138	-0.141419	1.141265	0.268001	-0.141419	1.451332	0.2727328	-0.141419	1.616898	0.2675415	-0.141419	1.521794	0.2487502	-0.141419	1.609835	0.2494292	-0.141419	1.646106	0.2665852	-0.141419	1.792523	0.2890843	-0.141419	1.939856	0.2904169	-0.141419	1.757682	0.2593337	-0.141419	1.304338	0.2386019	-0.141419	1.183108	0.2170575	-0.141419	1.455599	0.2491786	-0.141419	1.153176	0.2680151	-0.141419	1.00946	0.3996527	-0.141419	1.078237	0.9600846
-0.140819	0.1742356	0.1600194	-0.140819	0.6877231	0.2320686	-0.140819	0.6418384	0.2962677	-0.140819	1.617788	0.3185809	-0.140819	1.264323	0.2537459	-0.140819	1.901234	0.2903182	-0.140819	1.717682	0.2637317	-0.140819	1.533874	0.2430934	-0.140819	1.452892	0.2436541	-0.140819	1.343271	0.2498101	-0.140819	1.847391	0.282933	-0.140819	1.489846	0.2392548	-0.140819	1.354597	0.2524362	-0.140819	1.160842	0.2159416	-0.140819	1.202067	0.2328496	-0.140819	1.867602	0.3405361	-0.140819	1.193651	0.4335737	-0.140819	1.517937	1.095569
-0.140219	0.1002517	0.1349016	-0.140219	0.7294908	0.2243302	-0.140219	0.988478	0.3671332	-0.140219	1.484507	0.3048045	-0.140219	1.058558	0.23161	-0.140219	1.747576	0.2789472	-0.140219	1.945272	0.2808183	-0.140219	1.791586	0.2628769	-0.140219	1.767413	0.2673119	-0.140219	1.260169	0.2419982	-0.140219	1.79832	0.2794432	-0.140219	1.583791	0.2533213	-0.140219	1.455845	0.2636909	-0.140219	1.207608	0.2151674	-0.140219	1.343314	0.2393896	-0.140219	1.681904	0.3237032	-0.140219	1.256786	0.4452361	-0.140219	2.730042	1.465101
-0.139619	0.2411775	0.1440207	-0.139619	1.04168	0.232782	-0.139619	1.721686	0.4831608	-0.139619	0.8192435	0.2260282	-0.139619	1.017618	0.2267089	-0.139619	1.810445	0.2823889	-0.139619	1.611886	0.2552574	-0.139619	1.671193	0.2538371	-0.139619	1.706717	0.2619133	-0.139619	1.385205	0.2548026	-0.139619	1.722882	0.2725503	-0.139619	1.629478	0.2542681	-0.139619	1.366432	0.2455515	-0.139619	1.315636	0.2242612	-0.139619	1.562424	0.2566491	-0.139619	1.705839	0.3246957	-0.139619	1.297673	0.4506803	-0.139619	1.965651	1.242037
-0.139019	0.3949354	0.1621453	-0.139019	0.6981903	0.1954094	-0.139019	1.478772	0.4477157	-0.139019	0.9931846	0.2516412	-0.139019	1.354233	0.2609474	-0.139019	1.348929	0.2455018	-0.139019	1.224426	0.2231005	-0.139019	1.8632	0.2677874	-0.139019	1.728981	0.2635859	-0.139019	1.685694	0.2799867	-0.139019	1.384405	0.2434299	-0.139019	1.594507	0.2461637	-0.139019	1.692506	0.2700466	-0.139019	1.748687	0.2577363	-0.139019	1.721493	0.2688052	-0.139019	1.42041	0.2956805	-0.139019	1.899103	0.544748	-0.139019	2.523631	1.404974
-0.138419	0.3501584	0.1736858	-0.138419	0.7123514	0.2003448	-0.138419	0.8163875	0.3322339	-0.138419	0.9022601	0.2406843	-0.138419	1.344777	0.2599375	-0.138419	1.138087	0.2287907	-0.138419	1.345885	0.2331781	-0.138419	1.588194	0.2475998	-0.138419	1.455426	0.242386	-0.138419	1.89334	0.3032464	-0.138419	1.202812	0.2279583	-0.138419	1.356801	0.2269556	-0.138419	1.792123	0.2781147	-0.138419	1.732715	0.2565785	-0.138419	1.287753	0.232687	-0.138419	1.619149	0.3161655	-0.138419	1.206625	0.4341082	-0.138419	1.086944	1.171887
-0.137819	0.2801264	0.1530622	-0.137819	0.7694876	0.2040371	-0.137819	0.5640632	0.2887346	-0.137819	1.000474	0.249071	-0.137819	1.287938	0.2542392	-0.137819	1.581865	0.2687641	-0.137819	1.462086	0.2428393	-0.137819	1.583849	0.2486336	-0.137819	1.391126	0.2356323	-0.137819	1.973936	0.3026487	-0.137819	1.534361	0.2572574	-0.137819	1.506951	0.2387895	-0.137819	1.39571	0.2474522	-0.137819	1.274999	0.2195732	-0.137819	1.321151	0.2350108	-0.137819	1.649602	0.3182445	-0.137819	0.8191134	0.3562697	-0.137819	0.4403083	1.091893
-0.137219	0.3500015	0.1477813	-0.137219	0.7202191	0.1957022	-0.137219	0.6729115	0.3005173	-0.137219	1.085938	0.2593887	-0.137219	1.171564	0.2425235	-0.137219	1.706488	0.2757892	-0.137219	1.286238	0.2275334	-0.137219	1.518707	0.2448243	-0.137219	1.372164	0.2337716	-0.137219	1.504394	0.2630262	-0.137219	1.602016	0.2621343	-0.137219	1.626066	0.2479547	-0.137219	1.151666	0.2227937	-0.137219	1.189217	0.2123556	-0.137219	1.635489	0.261562	-0.137219	1.469269	0.3091084	-0.137219	1.060517	0.4059173	-0.137219	0.6439753	0.7108029
