E (meV)	D1_Butanol_250K_0.098A-1	err	E (meV)	D1_Butanol_250K_0.196A-1	err	E (meV)	D1_Butanol_250K_0.294A-1	err	E (meV)	D1_Butanol_250K_0.399A-1	err	E (meV)	D1_Butanol_250K_0.497A-1	err	E (meV)	D1_Butanol_250K_0.595A-1	err	E (meV)	D1_Butanol_250K_0.693A-1	err	E (meV)	D1_Butanol_250K_0.798A-1	err	E (meV)	D1_Butanol_250K_0.896A-1	err	E (meV)	D1_Butanol_250K_0.994A-1	err	E (meV)	D1_Butanol_250K_1.099A-1	err	E (meV)	D1_Butanol_250K_1.197A-1	err	E (meV)	D1_Butanol_250K_1.295A-1	err	E (meV)	D1_Butanol_250K_1.4A-1	err	E (meV)	D1_Butanol_250K_1.498A-1	err	E (meV)	D1_Butanol_250K_1.596A-1	err	E (meV)	D1_Butanol_250K_1.694A-1	err
-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.000268685	2.9598e-05	-4.995	0.000343008	2.6912e-05	-4.995	0.0004321	3.7463e-05	-4.995	0.000483302	4.647e-05	-4.995	0.000579133	5.6377e-05	-4.995	0.000636661	5.9019e-05	-4.995	0.0006686	6.4231e-05	-4.995	0.000738039	6.919e-05	-4.995	0.000797806	6.7951e-05	-4.995	0.00084527	6.4999e-05	-4.995	0.000924173	6.7297e-05
-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.000283144	3.1038e-05	-4.985	0.000344084	2.7031e-05	-4.985	0.000418901	3.7104e-05	-4.985	0.000458922	4.5452e-05	-4.985	0.000566804	5.5872e-05	-4.985	0.000641787	5.9282e-05	-4.985	0.000656631	6.1811e-05	-4.985	0.000744551	6.8025e-05	-4.985	0.000807762	6.8717e-05	-4.985	0.000837746	6.4344e-05	-4.985	0.000913384	6.634e-05
-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.000294173	3.1687e-05	-4.975	0.000355106	2.7951e-05	-4.975	0.000428661	3.7756e-05	-4.975	0.000473008	4.5972e-05	-4.975	0.000565241	5.571e-05	-4.975	0.000631667	5.9085e-05	-4.975	0.000644204	6.0833e-05	-4.975	0.000752351	6.7814e-05	-4.975	0.000824768	6.9344e-05	-4.975	0.000857648	6.4846e-05	-4.975	0.000932107	6.6739e-05
-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.000307216	3.2009e-05	-4.965	0.000363708	2.8202e-05	-4.965	0.000427268	3.7653e-05	-4.965	0.0004637	4.5819e-05	-4.965	0.000556892	5.5454e-05	-4.965	0.000603659	5.7689e-05	-4.965	0.000645243	6.0724e-05	-4.965	0.000789336	6.9319e-05	-4.965	0.000844041	7.0091e-05	-4.965	0.000869561	6.5317e-05	-4.965	0.000933519	6.6905e-05
-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.000313414	3.2127e-05	-4.955	0.000376684	2.8955e-05	-4.955	0.000435182	3.7638e-05	-4.955	0.000475446	4.6291e-05	-4.955	0.000551868	5.5163e-05	-4.955	0.000588156	5.7026e-05	-4.955	0.000643139	6.0461e-05	-4.955	0.000780015	6.7998e-05	-4.955	0.000828932	6.8405e-05	-4.955	0.000863688	6.4829e-05	-4.955	0.000922987	6.6632e-05
-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.000302443	6.248e-05	-4.945	0.000380876	3.7982e-05	-4.945	0.000447806	3.8133e-05	-4.945	0.000495184	4.7235e-05	-4.945	0.000547858	5.4913e-05	-4.945	0.00056602	5.6184e-05	-4.945	0.000627899	5.9899e-05	-4.945	0.000774773	6.7222e-05	-4.945	0.000847088	6.8669e-05	-4.945	0.000894296	6.6065e-05	-4.945	0.000956557	6.8331e-05
-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.000312195	5.5794e-05	-4.935	0.000383431	3.5637e-05	-4.935	0.00045124	3.8628e-05	-4.935	0.000492306	4.7292e-05	-4.935	0.000542634	5.4537e-05	-4.935	0.000566115	5.6116e-05	-4.935	0.0006236	5.9658e-05	-4.935	0.000750073	6.6027e-05	-4.935	0.000843289	6.8555e-05	-4.935	0.000903892	6.6676e-05	-4.935	0.000954159	6.876e-05
-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.000317529	4.9679e-05	-4.925	0.000396559	3.4089e-05	-4.925	0.000466953	3.9483e-05	-4.925	0.000489313	4.7132e-05	-4.925	0.000523228	5.3458e-05	-4.925	0.000583699	5.711e-05	-4.925	0.000653164	6.1163e-05	-4.925	0.00075634	6.6376e-05	-4.925	0.000852304	6.8946e-05	-4.925	0.000891126	6.6278e-05	-4.925	0.000931279	6.7954e-05
-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.000324781	4.3833e-05	-4.915	0.000398854	3.2592e-05	-4.915	0.000467206	4.1358e-05	-4.915	0.000484997	4.834e-05	-4.915	0.000504085	5.2535e-05	-4.915	0.000589514	5.7423e-05	-4.915	0.0006849	6.3624e-05	-4.915	0.000765312	6.8002e-05	-4.915	0.000857729	6.9766e-05	-4.915	0.000906638	6.7387e-05	-4.915	0.000955113	6.8917e-05
-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.000322947	3.4907e-05	-4.905	0.000400207	3.0642e-05	-4.905	0.000480147	4.2866e-05	-4.905	0.000494361	4.9648e-05	-4.905	0.000518946	5.3524e-05	-4.905	0.00062369	5.8812e-05	-4.905	0.000721964	6.5498e-05	-4.905	0.000786679	6.9447e-05	-4.905	0.000868403	7.0558e-05	-4.905	0.000904558	6.7612e-05	-4.905	0.000949572	6.8337e-05
