E- (meV)	D1_Butanol_250K_0.098A-1	E+ (meV)	D1_Butanol_250K_0.098A-1	E- (meV)	D1_Butanol_250K_0.196A-1	E+ (meV)	D1_Butanol_250K_0.196A-1	E- (meV)	D1_Butanol_250K_0.294A-1	E+ (meV)	D1_Butanol_250K_0.294A-1	E- (meV)	D1_Butanol_250K_0.399A-1	E+ (meV)	D1_Butanol_250K_0.399A-1	E- (meV)	D1_Butanol_250K_0.497A-1	E+ (meV)	D1_Butanol_250K_0.497A-1	E- (meV)	D1_Butanol_250K_0.595A-1	E+ (meV)	D1_Butanol_250K_0.595A-1	E- (meV)	D1_Butanol_250K_0.693A-1	E+ (meV)	D1_Butanol_250K_0.693A-1	E- (meV)	D1_Butanol_250K_0.798A-1	E+ (meV)	D1_Butanol_250K_0.798A-1	E- (meV)	D1_Butanol_250K_0.896A-1	E+ (meV)	D1_Butanol_250K_0.896A-1	E- (meV)	D1_Butanol_250K_0.994A-1	E+ (meV)	D1_Butanol_250K_0.994A-1	E- (meV)	D1_Butanol_250K_1.099A-1	E+ (meV)	D1_Butanol_250K_1.099A-1	E- (meV)	D1_Butanol_250K_1.197A-1	E+ (meV)	D1_Butanol_250K_1.197A-1	E- (meV)	D1_Butanol_250K_1.295A-1	E+ (meV)	D1_Butanol_250K_1.295A-1	E- (meV)	D1_Butanol_250K_1.4A-1	E+ (meV)	D1_Butanol_250K_1.4A-1	E- (meV)	D1_Butanol_250K_1.498A-1	E+ (meV)	D1_Butanol_250K_1.498A-1	E- (meV)	D1_Butanol_250K_1.596A-1	E+ (meV)	D1_Butanol_250K_1.596A-1	E- (meV)	D1_Butanol_250K_1.694A-1	E+ (meV)	D1_Butanol_250K_1.694A-1
0.005	0.0004907819456634216	0.005	0.0005436917706691087	0.005	0.0005239132363573362	0.005	0.0005773198745556175	0.005	0.0005223694818475195	0.005	0.0005678794219426355	0.005	0.000525679402357703	0.005	0.0005576311832847712	0.005	0.0004840935581508851	0.005	0.0005096670642479284	0.005	0.0004031117113966635	0.005	0.00042470153263353774	0.005	0.0003328325972549037	0.005	0.00034852103878163304	0.005	0.00028172827047055207	0.005	0.0002932533090971069	0.005	0.0002256988053020234	0.005	0.00023410922706543238	0.005	0.00018689930308009455	0.005	0.00019314835058016147	0.005	0.00015995032260546522	0.005	0.0001631122700177829	0.005	0.00013154290612722998	0.005	0.00013298214216317527	0.005	0.00011550521461357801	0.005	0.00011720188138566407	0.005	0.00010388658419085181	0.005	0.00010553199761270859	0.005	8.745438573822442e-05	0.005	8.79779611608299e-05	0.005	6.96354334115684e-05	0.005	6.899622848901124e-05	0.005	5.7791912157086174e-05	0.005	5.7109379800029546e-05
0.015	0.0010955054118744433	0.015	0.0014394074783078378	0.015	0.0011575047893650516	0.015	0.0015441365442796884	0.015	0.0011755549363587701	0.015	0.001516040422165223	0.015	0.0012218936395817042	0.015	0.0014782706099399014	0.015	0.0011574413326717774	0.015	0.0013456487792632402	0.015	0.0009756597880599233	0.015	0.0011204796474446515	0.015	0.000821322169208188	0.015	0.0009401606643294478	0.015	0.0007168768284027349	0.015	0.000807956481666162	0.015	0.0005862763891591776	0.015	0.0006455154574900095	0.015	0.0004943320169287173	0.015	0.0005327614270726701	0.015	0.000429021950578672	0.015	0.00045863874457316515	0.015	0.0003583749575080934	0.015	0.00038210857274001365	0.015	0.0003164125779592336	0.015	0.00033628099648700093	0.015	0.000287336283468685	0.015	0.00029975319510773876	0.015	0.0002452229207530697	0.015	0.00025044011658603146	0.015	0.00020006538728976843	0.015	0.0001977611449387271	0.015	0.00016901143213090582	0.015	0.00016274649761839638
0.025	0.001052075346370486	0.025	0.0016503835049785148	0.025	0.0011429598608888732	0.025	0.0018391851043713457	0.025	0.001222514361275448	0.025	0.0018376438816969246	0.025	0.001335818150376617	0.025	0.0017887328339866817	0.025	0.0012994388100879607	0.025	0.001633076630974965	0.025	0.001133388078183826	0.025	0.0013943182843268347	0.025	0.0009866268230115094	0.025	0.0012149170501822477	0.025	0.0008931487347494909	0.025	0.0010771033233800858	0.025	0.0007608874171734248	0.025	0.0008885713468664681	0.025	0.0006646917305443102	0.025	0.0007515264096253057	0.025	0.00059281216568038	0.025	0.0006591222766560367	0.025	0.000505407636185093	0.025	0.0005602872736622906	0.025	0.0004541125110332743	0.025	0.0004989917912703497	0.025	0.00041746323479942976	0.025	0.0004450380670083357	0.025	0.00036496434124339407	0.025	0.00037161684215664446	0.025	0.00030482151832058013	0.025	0.00029558391892900703	0.025	0.0002619691870219747	0.025	0.00024246493252682745
0.035	0.0006347047207630804	0.035	0.0012381830934535202	0.035	0.0007428274910692421	0.035	0.0014559492226492432	0.035	0.0008629849024129301	0.035	0.0015158513550005456	0.035	0.0010232458650238582	0.035	0.0015078395850427815	0.035	0.001067251990889006	0.035	0.001419903907524179	0.035	0.00099286810175978	0.035	0.0012781042489146128	0.035	0.000921921951772428	0.035	0.0011774751942955173	0.035	0.0008812003225911212	0.035	0.0010858217699282768	0.035	0.0007849231942909116	0.035	0.0009244134190923566	0.035	0.000713062697637296	0.035	0.0008094590545997032	0.035	0.0006667681510655218	0.035	0.000734089259433698	0.035	0.0005857182150118596	0.035	0.000647550924352032	0.035	0.0005338098863941427	0.035	0.0005926261869585766	0.035	0.000502389052799053	0.035	0.0005305158455737212	0.035	0.0004524452924933193	0.035	0.0004522065315002334	0.035	0.00038007960653638814	0.035	0.00036942827152350647	0.035	0.00032794703312174947	0.035	0.000307320480033609
0.045	0.00027301993838571803	0.045	0.0006536944182013644	0.045	0.00037806444425625543	0.045	0.000839157114862282	0.045	0.0005104322934065482	0.045	0.0009543543086930845	0.045	0.0006695381826952237	0.045	0.001009268489124464	0.045	0.0007610188959023867	0.045	0.0010079115313413323	0.045	0.0007745708642598747	0.045	0.0009809165934141005	0.045	0.0007735198148477574	0.045	0.000978917211173254	0.045	0.0007857119880283186	0.045	0.0009625484982047504	0.045	0.0007394986591892842	0.045	0.0008639101225391219	0.045	0.0007025608414121854	0.045	0.0007814765760517639	0.045	0.0006760481199915255	0.045	0.0007331833007458103	0.045	0.0006044256716145543	0.045	0.0006642144464640215	0.045	0.0005674123096609595	0.045	0.0006201592059735014	0.045	0.00054876209474882	0.045	0.0005707757756949158	0.045	0.0004943078816129032	0.045	0.0004923639374198833	0.045	0.0004246265901189362	0.045	0.0004089615099646658	0.045	0.00037495465180815323	0.045	0.00034972473068209224
0.055	0.00012096263010351026	0.055	0.0002555626323985747	0.055	0.00020670415460649107	0.055	0.0004040476097688245	0.055	0.0003253563482830616	0.055	0.0005356894600835029	0.055	0.00047113388474473596	0.055	0.0006393755804205597	0.055	0.0005732476259442828	0.055	0.0007020292575454772	0.055	0.0006201221006763113	0.055	0.0007490285269067084	0.055	0.0006549456859322683	0.055	0.000789555524112662	0.055	0.0007096966849866551	0.055	0.0008258635290609614	0.055	0.0006848584895577989	0.055	0.0007884661317696945	0.055	0.0006697824301059601	0.055	0.0007501107100356415	0.055	0.0006742362641079789	0.055	0.0007257283471477097	0.055	0.0006159340833087441	0.055	0.0006677830878110001	0.055	0.0005815963562517091	0.055	0.0006295029623124169	0.055	0.000574224963841949	0.055	0.0005922072950414124	0.055	0.0005317143791147834	0.055	0.0005228866969822901	0.055	0.0004603245436579758	0.055	0.0004367870537701239	0.055	0.0004146627067447444	0.055	0.0003786463446307055
0.065	8.666858418518286e-05	0.065	0.00012638919637599492	0.065	0.00016344085582948326	0.065	0.0002330601600197392	0.065	0.00026637017663733804	0.065	0.0003530542283083857	0.065	0.00039702584235171904	0.065	0.00048048167472312876	0.065	0.0004913288305624018	0.065	0.0005734556879924308	0.065	0.0005518906787377279	0.065	0.000627846929083422	0.065	0.0006094299404720508	0.065	0.0006750054383639178	0.065	0.0006628710534419859	0.065	0.0007365972321393173	0.065	0.000653331489639963	0.065	0.0007352532804027426	0.065	0.000646319924485048	0.065	0.0007127080167992608	0.065	0.0006529232885816616	0.065	0.0007120445589349376	0.065	0.0006197612244662208	0.065	0.0006688242068205594	0.065	0.0005872513327392753	0.065	0.000638340163522438	0.065	0.0005785841800362732	0.065	0.0006067137612482283	0.065	0.0005412261887634095	0.065	0.0005454409193990441	0.065	0.00048067288433116415	0.065	0.00046355450795648284	0.065	0.0004448176425357214	0.065	0.0004077502246523184
0.075	8.056254339875039e-05	0.075	9.866561228592683e-05	0.075	0.00015105339936507598	0.075	0.00018870863672072044	0.075	0.00024333848941468058	0.075	0.000295368615999603	0.075	0.0003582445578840565	0.075	0.00040656829345071664	0.075	0.00044243750153910344	0.075	0.0004962267864530284	0.075	0.000507695085576341	0.075	0.0005624694769782264	0.075	0.0005789817897881319	0.075	0.0006261922965603004	0.075	0.0006418334229070852	0.075	0.0006903976910803557	0.075	0.0006380218094076719	0.075	0.0006892676796305581	0.075	0.0006373600633445372	0.075	0.0006876529096457746	0.075	0.0006527303208275117	0.075	0.0006931599412909726	0.075	0.0006186788843337598	0.075	0.0006458719645628171	0.075	0.000601002376084397	0.075	0.0006243853700391263	0.075	0.0005965640759159225	0.075	0.0006137043052919074	0.075	0.0005549661048478797	0.075	0.0005612532134467533	0.075	0.0004945215182532756	0.075	0.0004892010630912423	0.075	0.0004597688938780565	0.075	0.000431182890683268
0.085	7.591834645562448e-05	0.085	9.337948029824721e-05	0.085	0.00014314758553542317	0.085	0.00016955729833193162	0.085	0.00022581718535490968	0.085	0.00026700245738116665	0.085	0.000335837564544688	0.085	0.00037848729029164033	0.085	0.00043100764544500215	0.085	0.0004759955406587821	0.085	0.000499516243249228	0.085	0.000542143694772298	0.085	0.0005561093303242479	0.085	0.0006004524433647399	0.085	0.0006062863731604643	0.085	0.0006738647586301804	0.085	0.0006158123234724312	0.085	0.0006796617373696081	0.085	0.000625129621939234	0.085	0.0006723146915451392	0.085	0.000639747670853426	0.085	0.0006761855294614153	0.085	0.0006125869136992659	0.085	0.0006471202252610626	0.085	0.0006015134622023301	0.085	0.0006314847121821838	0.085	0.0005979788005872248	0.085	0.0006243244661421055	0.085	0.0005689550805298117	0.085	0.0005846981701580367	0.085	0.0005171870673742172	0.085	0.0005046093089564691	0.085	0.0004728547601531399	0.085	0.00044462307355850787
0.095	7.61863552940496e-05	0.095	8.844806561265129e-05	0.095	0.00013649593676384107	0.095	0.0001600292650888732	0.095	0.00021060133950718776	0.095	0.0002549630982734083	0.095	0.00031022409662660787	0.095	0.00036325412925144595	0.095	0.00040686176702064015	0.095	0.0004412727156804093	0.095	0.00047495367784538227	0.095	0.0004975628749008385	0.095	0.000536235425698949	0.095	0.0005622560565145929	0.095	0.0006050909633604182	0.095	0.0006393263828083662	0.095	0.000605453339004756	0.095	0.0006545690424450165	0.095	0.0006134020001688701	0.095	0.0006596476251515598	0.095	0.0006463295893685435	0.095	0.0006715741389218526	0.095	0.0006268029569472158	0.095	0.00065172564434285	0.095	0.000609606080584121	0.095	0.0006379924600234413	0.095	0.0006124814827275063	0.095	0.0006336147051427601	0.095	0.0005848978929724923	0.095	0.0006025004378206088	0.095	0.0005225192992988995	0.095	0.0005210454451291341	0.095	0.0004871966986567637	0.095	0.0004633508656501725
