E (meV)	D1_butanol_4K_0.098A-1	err	E (meV)	D1_butanol_4K_0.196A-1	err	E (meV)	D1_butanol_4K_0.294A-1	err	E (meV)	D1_butanol_4K_0.399A-1	err	E (meV)	D1_butanol_4K_0.497A-1	err	E (meV)	D1_butanol_4K_0.595A-1	err	E (meV)	D1_butanol_4K_0.693A-1	err	E (meV)	D1_butanol_4K_0.798A-1	err	E (meV)	D1_butanol_4K_0.896A-1	err	E (meV)	D1_butanol_4K_0.994A-1	err	E (meV)	D1_butanol_4K_1.099A-1	err	E (meV)	D1_butanol_4K_1.197A-1	err	E (meV)	D1_butanol_4K_1.295A-1	err	E (meV)	D1_butanol_4K_1.4A-1	err	E (meV)	D1_butanol_4K_1.498A-1	err	E (meV)	D1_butanol_4K_1.596A-1	err	E (meV)	D1_butanol_4K_1.694A-1	err
-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	0.0	0.0	-4.995	4.86573e-07	6.7628e-06	-4.995	3.02543e-06	6.2938e-06	-4.995	2.05893e-06	6.8865e-06	-4.995	-1.36486e-06	7.6007e-06	-4.995	-3.00758e-08	8.1825e-06	-4.995	-2.78108e-06	7.9284e-06	-4.995	-1.06203e-06	8.6485e-06	-4.995	2.81412e-06	9.0724e-06	-4.995	4.82832e-07	8.3394e-06	-4.995	3.6291e-06	7.6345e-06	-4.995	3.31934e-06	7.1093e-06
-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	0.0	0.0	-4.985	2.00782e-06	7.0109e-06	-4.985	3.6114e-06	6.275e-06	-4.985	2.97677e-06	7.1064e-06	-4.985	3.57468e-06	8.2702e-06	-4.985	4.23079e-06	8.31e-06	-4.985	-1.8789e-06	7.8942e-06	-4.985	1.10977e-06	8.6542e-06	-4.985	3.52714e-06	8.549e-06	-4.985	1.19447e-06	7.7857e-06	-4.985	3.56467e-06	7.2978e-06	-4.985	2.12945e-06	7.2978e-06
-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	0.0	0.0	-4.975	5.28571e-07	7.0304e-06	-4.975	1.95167e-06	6.3105e-06	-4.975	3.82815e-07	7.1409e-06	-4.975	2.48598e-06	8.6458e-06	-4.975	5.92535e-06	8.9823e-06	-4.975	2.47022e-07	8.0363e-06	-4.975	-6.00421e-07	8.1786e-06	-4.975	8.93238e-08	8.0659e-06	-4.975	-5.82294e-07	7.5258e-06	-4.975	6.67724e-07	6.6443e-06	-4.975	-2.58864e-07	6.5177e-06
-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	0.0	0.0	-4.965	7.34902e-08	7.0925e-06	-4.965	1.25571e-06	6.222e-06	-4.965	-1.92456e-06	7.1944e-06	-4.965	1.45132e-06	8.5508e-06	-4.965	9.45164e-06	8.8834e-06	-4.965	3.08537e-06	7.7434e-06	-4.965	-4.8644e-07	7.1404e-06	-4.965	7.01116e-07	7.272e-06	-4.965	1.32482e-07	7.6542e-06	-4.965	4.56085e-07	6.5287e-06	-4.965	1.55031e-06	6.2527e-06
-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	0.0	0.0	-4.955	2.06374e-06	7.1716e-06	-4.955	1.32564e-06	6.1461e-06	-4.955	-9.11329e-07	6.7096e-06	-4.955	4.17274e-06	8.1494e-06	-4.955	1.10168e-05	9.1261e-06	-4.955	5.61815e-06	8.2566e-06	-4.955	3.46061e-06	7.3283e-06	-4.955	3.81073e-06	7.709e-06	-4.955	1.26567e-06	8.0252e-06	-4.955	2.99066e-06	6.3696e-06	-4.955	4.44467e-06	6.5131e-06
-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	0.0	0.0	-4.945	2.34922e-06	6.6579e-06	-4.945	4.4059e-07	5.9299e-06	-4.945	-2.44655e-06	6.3652e-06	-4.945	2.55135e-06	7.4613e-06	-4.945	7.62499e-06	9.0093e-06	-4.945	2.99702e-06	8.1261e-06	-4.945	3.30563e-06	7.307e-06	-4.945	3.83921e-06	8.2915e-06	-4.945	3.25962e-06	8.3688e-06	-4.945	5.17053e-06	6.4904e-06	-4.945	6.6807e-06	6.5558e-06
-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	0.0	0.0	-4.935	7.00406e-06	7.3406e-06	-4.935	5.17589e-06	6.0567e-06	-4.935	3.57135e-06	6.6893e-06	-4.935	6.52814e-06	7.4123e-06	-4.935	6.27835e-06	8.8237e-06	-4.935	-4.14671e-07	8.4472e-06	-4.935	6.14976e-07	7.9591e-06	-4.935	2.26643e-06	8.2348e-06	-4.935	4.38061e-06	7.8463e-06	-4.935	7.67256e-06	6.801e-06	-4.935	9.79755e-06	7.0398e-06
-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	0.0	0.0	-4.925	8.31901e-06	7.5475e-06	-4.925	7.41871e-06	6.176e-06	-4.925	6.93554e-06	6.6928e-06	-4.925	7.35826e-06	7.4281e-06	-4.925	1.27834e-06	8.4571e-06	-4.925	-3.64408e-06	8.1962e-06	-4.925	2.47213e-06	8.7732e-06	-4.925	2.68679e-06	9.1983e-06	-4.925	2.7158e-06	8.0591e-06	-4.925	8.37214e-06	7.531e-06	-4.925	1.00345e-05	7.3775e-06
-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	0.0	0.0	-4.915	8.25389e-06	7.6715e-06	-4.915	7.55822e-06	6.4249e-06	-4.915	6.55684e-06	6.7111e-06	-4.915	5.47471e-06	7.2755e-06	-4.915	-1.40464e-06	8.0074e-06	-4.915	-5.08173e-06	7.63e-06	-4.915	4.80193e-08	8.1432e-06	-4.915	1.76509e-06	8.9218e-06	-4.915	4.36354e-06	8.9995e-06	-4.915	4.97878e-06	8.4445e-06	-4.915	4.99225e-06	7.5154e-06
-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	0.0	0.0	-4.905	7.627e-06	7.5756e-06	-4.905	6.77433e-06	6.378e-06	-4.905	5.69651e-06	6.8535e-06	-4.905	4.98102e-06	7.4974e-06	-4.905	-6.24058e-07	7.7362e-06	-4.905	-3.52779e-06	7.6581e-06	-4.905	1.82836e-06	8.7487e-06	-4.905	3.53333e-06	9.3751e-06	-4.905	1.18948e-06	8.795e-06	-4.905	1.63168e-06	8.2651e-06	-4.905	5.14912e-06	8.0523e-06
