E- (meV)	D1_butanol_4K_0.098A-1	E+ (meV)	D1_butanol_4K_0.098A-1	E- (meV)	D1_butanol_4K_0.196A-1	E+ (meV)	D1_butanol_4K_0.196A-1	E- (meV)	D1_butanol_4K_0.294A-1	E+ (meV)	D1_butanol_4K_0.294A-1	E- (meV)	D1_butanol_4K_0.399A-1	E+ (meV)	D1_butanol_4K_0.399A-1	E- (meV)	D1_butanol_4K_0.497A-1	E+ (meV)	D1_butanol_4K_0.497A-1	E- (meV)	D1_butanol_4K_0.595A-1	E+ (meV)	D1_butanol_4K_0.595A-1	E- (meV)	D1_butanol_4K_0.693A-1	E+ (meV)	D1_butanol_4K_0.693A-1	E- (meV)	D1_butanol_4K_0.798A-1	E+ (meV)	D1_butanol_4K_0.798A-1	E- (meV)	D1_butanol_4K_0.896A-1	E+ (meV)	D1_butanol_4K_0.896A-1	E- (meV)	D1_butanol_4K_0.994A-1	E+ (meV)	D1_butanol_4K_0.994A-1	E- (meV)	D1_butanol_4K_1.099A-1	E+ (meV)	D1_butanol_4K_1.099A-1	E- (meV)	D1_butanol_4K_1.197A-1	E+ (meV)	D1_butanol_4K_1.197A-1	E- (meV)	D1_butanol_4K_1.295A-1	E+ (meV)	D1_butanol_4K_1.295A-1	E- (meV)	D1_butanol_4K_1.4A-1	E+ (meV)	D1_butanol_4K_1.4A-1	E- (meV)	D1_butanol_4K_1.498A-1	E+ (meV)	D1_butanol_4K_1.498A-1	E- (meV)	D1_butanol_4K_1.596A-1	E+ (meV)	D1_butanol_4K_1.596A-1	E- (meV)	D1_butanol_4K_1.694A-1	E+ (meV)	D1_butanol_4K_1.694A-1
0.005	0.04263494244842123	0.005	0.04636164883066329	0.005	0.04824905777628487	0.005	0.05289231875865182	0.005	0.05264793820430989	0.005	0.057369458322723485	0.005	0.05903212154908417	0.005	0.06306405772581261	0.005	0.06130202280303217	0.005	0.06479591809881852	0.005	0.05908399189118652	0.005	0.06250893947145572	0.005	0.05792953250722713	0.005	0.06148556743286132	0.005	0.0595393492307045	0.005	0.06292742715302062	0.005	0.057187281682629765	0.005	0.060335970461124655	0.005	0.05652857424088752	0.005	0.0594270604586772	0.005	0.05798874732254751	0.005	0.06057530017306826	0.005	0.055630253360406993	0.005	0.058148524039107016	0.005	0.055807438776792014	0.005	0.058194670788857955	0.005	0.059250160597744496	0.005	0.06026675033649824	0.005	0.06026553402013741	0.005	0.059571834575542895	0.005	0.057145509991202215	0.005	0.05500466360754537	0.005	0.05491646236952952	0.005	0.050598553844560946
0.015	0.09318660183861627	0.015	0.12094442911725621	0.015	0.10489268828267907	0.015	0.1396120316027275	0.015	0.11541790984254144	0.015	0.15016330263110753	0.015	0.13244368709318266	0.015	0.16125237142206	0.015	0.1395823932899541	0.015	0.16362563816535228	0.015	0.13383065488877766	0.015	0.1585780984683727	0.015	0.1298599251036252	0.015	0.15704229789266835	0.015	0.1343480779944686	0.015	0.1605433345709073	0.015	0.13006043878352433	0.015	0.15355196365746568	0.015	0.12995019119227666	0.015	0.15061548084938983	0.015	0.13446349562484958	0.015	0.15317871595657587	0.015	0.12888837693892924	0.015	0.14809371770896934	0.015	0.13045168498820559	0.015	0.14833719828804443	0.015	0.14277552124330256	0.015	0.15022082826242747	0.015	0.15014352566217468	0.015	0.1445324797886514	0.015	0.14680535715151938	0.015	0.13066385276064235	0.015	0.14826135195608314	0.015	0.11570692105638289
0.025	0.0870340242011253	0.025	0.13790145697713532	0.025	0.09770342457429089	0.025	0.16093188449721182	0.025	0.10901183572554274	0.025	0.1727509544012259	0.025	0.12747177948272925	0.025	0.18115540654552334	0.025	0.13527106672724915	0.025	0.18061341070389994	0.025	0.12996567028936556	0.025	0.1757473166513686	0.025	0.12668884948724113	0.025	0.17664998369173654	0.025	0.13112600420963322	0.025	0.17952897944576127	0.025	0.12837830512797296	0.025	0.1711970571586154	0.025	0.13072851303776148	0.025	0.16762924754909686	0.025	0.13716304908278124	0.025	0.17028318095850586	0.025	0.13173051218683168	0.025	0.16773496531058138	0.025	0.13372363973948692	0.025	0.16971107423679227	0.025	0.1524371554511433	0.025	0.16854817886046242	0.025	0.16796625169729945	0.025	0.15847707851380072	0.025	0.1711551612533262	0.025	0.14079605763981992	0.025	0.18292368852326668	0.025	0.12055517238328126
0.035	0.04798757735148763	0.035	0.09957851986897542	0.035	0.05519452748512193	0.035	0.11930439678184367	0.035	0.06375187843112413	0.035	0.1281681496539169	0.035	0.07682142145007818	0.035	0.1302426579148289	0.035	0.0817788227416277	0.035	0.1255555250521864	0.035	0.07885172321844933	0.035	0.12265109215289817	0.035	0.07699769206830125	0.035	0.12599445083863758	0.035	0.07985428334419038	0.035	0.128965617444228	0.035	0.07930331175465888	0.035	0.12366453448360544	0.035	0.08290258990199452	0.035	0.12123906759454971	0.035	0.08878935704352774	0.035	0.12377919512443374	0.035	0.08630008016065958	0.035	0.12429759468839024	0.035	0.08914693458335166	0.035	0.12637210294930223	0.035	0.10723397878083031	0.035	0.1247140736827216	0.035	0.12565509776903652	0.035	0.11598196821308084	0.035	0.1350615694645361	0.035	0.10168669831806713	0.035	0.1544395860945246	0.035	0.08450610563056993
0.045	0.015452569649873958	0.045	0.04602004010262718	0.045	0.018881333484837354	0.045	0.058366514392337775	0.045	0.022726611819545165	0.045	0.06310770508918376	0.045	0.027637425985565036	0.045	0.06071269439656729	0.045	0.02994409353700537	0.045	0.05639867609970476	0.045	0.029090166523802644	0.045	0.056196047967579404	0.045	0.028788218703013912	0.045	0.059065523774128874	0.045	0.030302207507859558	0.045	0.06047315487794472	0.045	0.030284814402106064	0.045	0.058727553891513705	0.045	0.03305281546383445	0.045	0.05796894800027398	0.045	0.03698431453436818	0.045	0.06006559165203792	0.045	0.03655605859295642	0.045	0.0625267352454619	0.045	0.03837655159893933	0.045	0.06469720167022028	0.045	0.049390286751011196	0.045	0.06355256419519713	0.045	0.06342744313242585	0.045	0.05873101433399782	0.045	0.07436363219587379	0.045	0.05153214048621197	0.045	0.09331423142427862	0.045	0.04165796010459639
0.055	0.0024629341738019103	0.055	0.01420430747311222	0.055	0.0034860312458156626	0.055	0.018787536341434808	0.055	0.00462816273575504	0.055	0.020568536295634224	0.055	0.0056713905485229026	0.055	0.01851430975567779	0.055	0.005912752912694075	0.055	0.016007176674128206	0.055	0.005737424160877772	0.055	0.016155442754240544	0.055	0.005959112312972843	0.055	0.018154949844005515	0.055	0.006367433736530155	0.055	0.019046121651780733	0.055	0.006557654019033893	0.055	0.01867295446139799	0.055	0.007556093107569948	0.055	0.018862086379841294	0.055	0.009067800866953232	0.055	0.020266444157405337	0.055	0.009266553887843568	0.055	0.02197998304515364	0.055	0.010018521838906919	0.055	0.02309953094945189	0.055	0.014733810898913886	0.055	0.02270556017470339	0.055	0.021372390060990086	0.055	0.020491993931776233	0.055	0.027424112477216177	0.055	0.017933153054787463	0.055	0.03899298396718071	0.055	0.014051361744846337
0.065	0.00030472933426785754	0.065	0.004015542675413833	0.065	0.0004123433755959615	0.065	0.005000336947723002	0.065	0.0005415529840743006	0.065	0.00546021499977514	0.065	0.0006295156069432092	0.065	0.00491281671639299	0.065	0.0004983944478404138	0.065	0.004004998134279502	0.065	0.00045484669069152005	0.065	0.00408044046570296	0.065	0.0004904946323845691	0.065	0.004511033524865895	0.065	0.00048339020975336175	0.065	0.004723808651114165	0.065	0.000593784866161038	0.065	0.004967580300993872	0.065	0.0007857242380886639	0.065	0.005015190011041254	0.065	0.000921547342315463	0.065	0.00515611864016994	0.065	0.0010498598520014243	0.065	0.00572488136250168	0.065	0.0012832880871925302	0.065	0.006011144327653886	0.065	0.0021064023076524654	0.065	0.00580225119069163	0.065	0.0036531805670394026	0.065	0.005270148700977457	0.065	0.00576125841531426	0.065	0.004628443453953029	0.065	0.010065630999652233	0.065	0.003543009014340255
0.075	0.0001582888850528001	0.075	0.001815239359648358	0.075	0.000194542182772759	0.075	0.002031648046695741	0.075	0.0002006008170878755	0.075	0.00208152377424592	0.075	0.00013010638467043456	0.075	0.0019064703523626954	0.075	5.1148649490901916e-05	0.075	0.001685478922027662	0.075	6.58976135383501e-05	0.075	0.0016545300471172296	0.075	2.890191548045871e-05	0.075	0.0016189554273065279	0.075	-4.0876538170426476e-05	0.075	0.001640118363802447	0.075	-2.0070696155092075e-05	0.075	0.0015467188611946233	0.075	-2.9237606890204766e-05	0.075	0.001612271748088078	0.075	-7.665157490329723e-05	0.075	0.0017796340244000714	0.075	-5.558594622373261e-05	0.075	0.0017958763477949073	0.075	-2.9742747626207986e-05	0.075	0.00180219144176234	0.075	3.406427816768858e-05	0.075	0.001797952711375639	0.075	0.00018783064546552955	0.075	0.0016441420861260543	0.075	0.0004213477005358975	0.075	0.0014075226411478807	0.075	0.001143893678474289	0.075	0.0011606380969288708
0.085	0.00021254709220934739	0.085	0.0018394035962094732	0.085	0.00022022328245667325	0.085	0.0015890027580274134	0.085	0.00018886221906211034	0.085	0.0014024122181663225	0.085	0.0001500419757202204	0.085	0.0012207856169415626	0.085	6.433775529385368e-05	0.085	0.0010558084641166684	0.085	4.173942723976849e-05	0.085	0.0009359187041338015	0.085	8.510941891584372e-06	0.085	0.0009072061296149407	0.085	-1.3478448232030504e-05	0.085	0.0009746278134444992	0.085	-2.086822002672636e-05	0.085	0.0009298425136868403	0.085	-3.0020871039833486e-05	0.085	0.0009142023308188429	0.085	-5.3396570403388044e-05	0.085	0.0010022212704008124	0.085	-6.329689657964893e-05	0.085	0.0009731242137745733	0.085	-7.479264382379568e-05	0.085	0.0008983287123856515	0.085	-5.113764253971636e-05	0.085	0.000968551622997538	0.085	-2.6586836794589376e-05	0.085	0.0009946208830281728	0.085	-5.131441368287328e-05	0.085	0.000854614469927118	0.085	-5.0720139322876575e-05	0.085	0.0007125208682431523
0.095	0.0002664954707635169	0.095	0.0013358293270209225	0.095	0.00026042620335163926	0.095	0.0013127401154098455	0.095	0.00017428706887015404	0.095	0.0012454703671270328	0.095	0.00010169811222412213	0.095	0.0010474828370814768	0.095	7.282313386598098e-05	0.095	0.0008002746474756311	0.095	6.242941373083753e-05	0.095	0.0007630715782261872	0.095	4.3138853391387416e-05	0.095	0.0006819884120627783	0.095	1.6649212769185726e-05	0.095	0.0006679918545817274	0.095	-1.7925473633293093e-05	0.095	0.0007051260572871986	0.095	-4.121568917255479e-05	0.095	0.0006992088319320033	0.095	-4.6332895089960765e-05	0.095	0.0006898331438740016	0.095	-5.458183501651134e-05	0.095	0.0005776026236794981	0.095	-6.677081414562802e-05	0.095	0.0005428515061055666	0.095	-6.748301595887462e-05	0.095	0.0005631739475543985	0.095	-6.80791759313291e-05	0.095	0.0005834699018709331	0.095	-0.00013187995698341808	0.095	0.0005676025960744909	0.095	-0.00012755530487554604	0.095	0.0005214377948060902
