E (meV)	LETLET77597_1.05meV_rings_0.35A-1	err	E (meV)	LETLET77597_1.05meV_rings_0.45A-1	err	E (meV)	LETLET77597_1.05meV_rings_0.55A-1	err	E (meV)	LETLET77597_1.05meV_rings_0.6499999999999999A-1	err	E (meV)	LETLET77597_1.05meV_rings_0.75A-1	err	E (meV)	LETLET77597_1.05meV_rings_0.8499999999999999A-1	err	E (meV)	LETLET77597_1.05meV_rings_0.95A-1	err	E (meV)	LETLET77597_1.05meV_rings_1.0499999999999998A-1	err	E (meV)	LETLET77597_1.05meV_rings_1.15A-1	err	E (meV)	LETLET77597_1.05meV_rings_1.25A-1	err
-0.8370771382	-0.5290238595	0.0675339081	-0.8370771382	0.4798744229	0.8356426666	-0.8370771382	-0.267594639	0.0110586097	-0.8370771382	-0.2349807266	0.01205711753	-0.8370771382	-0.2510901514	0.01597295038	-0.8370771382	-0.3072292912	0.01649351705	-0.8370771382	-0.2883826132	0.01641048677	-0.8370771382	-0.2773251727	0.01626329753	-0.8370771382	-0.2351711084	0.01356023326	-0.8370771382	-0.2757278655	0.0145685689
-0.8320703723	-0.529810249	0.06723242766	-0.8320703723	-0.2326853354	0.2715308501	-0.8320703723	0.9844597298	0.8858885842	-0.8320703723	-0.2354352843	0.01212449909	-0.8320703723	0.9919949241	1.245079792	-0.8320703723	-0.3092665008	0.01659043611	-0.8320703723	-0.2891940403	0.01644688899	-0.8320703723	-0.2793778792	0.01639322533	-0.8320703723	-0.2366753699	0.01363691428	-0.8320703723	-0.2760314715	0.01459236089
-0.8270636065	-0.5310222992	0.06706052006	-0.8270636065	0.6936240883	0.8672363687	-0.8270636065	0.6297638927	0.7754384822	-0.8270636065	-0.23587811	0.01219108986	-0.8270636065	-0.2549953888	0.01618659859	-0.8270636065	-0.3107099656	0.01663850852	-0.8270636065	-0.2905649034	0.01654769679	-0.8270636065	-0.2812874245	0.01649414157	-0.8270636065	-0.237884845	0.0136823257	-0.8270636065	-0.2766007185	0.01463328622
-0.8220568406	-0.5322648623	0.06689463038	-0.8220568406	0.469859922	0.8329281124	-0.8220568406	0.3308960913	0.6008946127	-0.8220568406	-0.2363231457	0.01225817008	-0.8220568406	-0.2570284578	0.01629986627	-0.8220568406	1.689594199	1.573258545	-0.8220568406	-0.292032895	0.01666022485	-0.8220568406	-0.2831656072	0.01658664296	-0.8220568406	1.895099715	1.509193201	-0.8220568406	0.7512562714	1.028657559
-0.8170500747	-0.532903897	0.06658459924	-0.8170500747	0.0309326971	0.5709316085	-0.8170500747	-0.2707215868	0.01121220483	-0.8170500747	0.7178717421	0.954721993	-0.8170500747	-0.2590800522	0.01641406941	-0.8170500747	0.1566296033	0.7620106699	-0.8170500747	1.066950286	1.331360796	-0.8170500747	-0.2851964413	0.01666234129	-0.8170500747	1.509531168	1.417621054	-0.8170500747	-0.2784009624	0.0147461363
-0.8120433088	-0.533158681	0.06618333848	-0.8120433088	-0.3231389809	0.01645700457	-0.8120433088	-0.2715144792	0.01125305013	-0.8120433088	-0.2372362414	0.01239809874	-0.8120433088	1.547280712	1.808746177	-0.8120433088	-0.314890312	0.01684279865	-0.8120433088	3.760163729	2.366736742	-0.8120433088	-0.2870866905	0.01675514316	-0.8120433088	0.2906553199	0.7708414161	-0.8120433088	0.7495522846	1.029237417
-0.8070365429	-0.5335425436	0.06583003871	-0.8070365429	-0.3249176945	0.01646700486	-0.8070365429	0.6072151257	0.7637408098	-0.8070365429	-0.2355722317	0.03716019617	-0.8070365429	-0.2642884685	0.01663893166	-0.8070365429	-0.315981103	0.01694320527	-0.8070365429	-0.2962782798	0.01685670912	-0.8070365429	0.09849181934	0.6715112088	-0.8070365429	-0.2422288088	0.01389210662	-0.8070365429	-0.2810430838	0.01486134844
-0.802029777	-0.5343337257	0.06566653078	-0.802029777	0.6761043518	0.9330531993	-0.802029777	0.7081258172	0.8029565598	-0.802029777	-0.2377293615	0.01598423149	-0.802029777	-0.2674612707	0.01678318834	-0.802029777	-0.02078697143	0.6069919833	-0.802029777	-0.2980405489	0.01693626432	-0.802029777	0.4844859118	0.9496097936	-0.802029777	-0.2433331295	0.0139466267	-0.802029777	-0.2827196913	0.01493324343
-0.7970230112	-0.535216281	0.06553614777	-0.7970230112	-0.3289932936	0.01652120326	-0.7970230112	-0.1829164586	0.2399015324	-0.7970230112	-0.2385934227	0.01262822395	-0.7970230112	-0.2703993341	0.01692128512	-0.7970230112	1.882134354	1.657057088	-0.7970230112	-0.3003831621	0.01707222227	-0.7970230112	0.8901907012	1.182348405	-0.7970230112	-0.2444483611	0.01400272907	-0.7970230112	0.7633489756	1.047947365
-0.7920162453	-0.5360243417	0.0653774249	-0.7920162453	-0.3310037051	0.01657582537	-0.7920162453	2.180220074	1.250493572	-0.7920162453	-0.2393042126	0.01270434496	-0.7920162453	-0.2733660874	0.01706096629	-0.7920162453	-0.3176064266	0.01706502382	-0.7920162453	-0.3027478136	0.01720773704	-0.7920162453	-0.293265732	0.0170814567	-0.7920162453	-0.2455343241	0.01407535193	-0.7920162453	0.7809948137	1.067331305
