# MSlice Cut of workspace "PLET_thf_background_summed_1.05meV_coh_rings"
# Cut axis: DeltaE,-3.0,0.699999988079071,0.014979757368564606
# Integration axis: |Q|,0.7,0.7999999999999999,0.0
# (Energy Transfer (meV)) (Signal) (Error)
-3.000000000e+00 0.000000000e+00 0.000000000e+00
-2.984959350e+00 0.000000000e+00 0.000000000e+00
-2.969918699e+00 -8.074037878e-03 4.865442983e-03
-2.954878049e+00 0.000000000e+00 0.000000000e+00
-2.939837399e+00 3.168216522e-03 2.121946443e-03
-2.924796748e+00 0.000000000e+00 0.000000000e+00
-2.909756098e+00 0.000000000e+00 0.000000000e+00
-2.894715447e+00 0.000000000e+00 0.000000000e+00
-2.879674797e+00 0.000000000e+00 0.000000000e+00
-2.864634147e+00 0.000000000e+00 0.000000000e+00
-2.849593496e+00 -5.319465531e-04 5.529038410e-04
-2.834552846e+00 0.000000000e+00 0.000000000e+00
-2.819512196e+00 0.000000000e+00 0.000000000e+00
-2.804471545e+00 0.000000000e+00 0.000000000e+00
-2.789430895e+00 1.077536486e-04 1.354588792e-03
-2.774390245e+00 0.000000000e+00 0.000000000e+00
-2.759349594e+00 0.000000000e+00 0.000000000e+00
-2.744308944e+00 -1.264293590e-03 7.613984693e-04
-2.729268294e+00 0.000000000e+00 0.000000000e+00
-2.714227643e+00 1.692689286e-03 1.040451812e-03
-2.699186993e+00 5.244454032e-04 1.169680360e-03
-2.684146342e+00 -2.488681408e-03 1.056793092e-03
-2.669105692e+00 3.397243671e-03 2.072498308e-03
-2.654065042e+00 -2.969284431e-04 3.287089877e-04
-2.639024391e+00 -4.315866472e-03 2.056841397e-03
-2.623983741e+00 1.131883776e-03 1.333788693e-03
-2.608943091e+00 1.573198760e-03 1.308251506e-03
-2.593902440e+00 -4.235512600e-04 3.362020499e-04
-2.578861790e+00 -3.532652208e-03 1.719803249e-03
-2.563821140e+00 2.943145781e-03 1.213129451e-03
-2.548780489e+00 2.914463743e-04 3.724023534e-04
-2.533739839e+00 -3.662415197e-03 1.613284561e-03
-2.518699189e+00 1.234605033e-03 1.145153570e-03
-2.503658538e+00 1.900905591e-03 1.177345265e-03
-2.488617888e+00 3.096032501e-03 1.901729674e-03
-2.473577237e+00 3.037945588e-03 1.345624996e-03
-2.458536587e+00 0.000000000e+00 0.000000000e+00
-2.443495937e+00 0.000000000e+00 0.000000000e+00
-2.428455286e+00 0.000000000e+00 0.000000000e+00
-2.413414636e+00 -4.450165307e-04 7.924868417e-04
-2.398373986e+00 2.147797661e-05 1.698163455e-03
-2.383333335e+00 0.000000000e+00 0.000000000e+00
-2.368292685e+00 1.042769157e-03 1.047065036e-03
-2.353252035e+00 8.399436432e-04 5.225230527e-04
-2.338211384e+00 1.402794154e-03 8.642964027e-04
-2.323170734e+00 0.000000000e+00 0.000000000e+00
-2.308130084e+00 2.136159716e-04 6.282750988e-04
-2.293089433e+00 -1.071928919e-03 6.851744209e-04
-2.278048783e+00 -7.223218134e-05 1.458044688e-04
-2.263008132e+00 0.000000000e+00 0.000000000e+00
-2.247967482e+00 0.000000000e+00 0.000000000e+00
-2.232926832e+00 -1.480252720e-03 6.504177521e-04
-2.217886181e+00 0.000000000e+00 0.000000000e+00
-2.202845531e+00 -2.872437364e-03 1.078501398e-03
-2.187804881e+00 -3.411707659e-03 1.233668116e-03
-2.172764230e+00 -5.003006396e-04 3.672548268e-04
-2.157723580e+00 0.000000000e+00 0.000000000e+00
-2.142682930e+00 -1.023879123e-03 5.715906367e-04
-2.127642279e+00 -1.968495517e-03 8.099330606e-04
-2.112601629e+00 -5.056498777e-04 7.188776207e-04
-2.097560979e+00 -8.979855430e-04 4.751367863e-04
-2.082520328e+00 -2.023463712e-03 9.793986373e-04
-2.067479678e+00 0.000000000e+00 0.000000000e+00
-2.052439027e+00 1.427655255e-03 9.059463715e-04
-2.037398377e+00 9.070561459e-04 5.640925596e-04
-2.022357727e+00 -2.787865348e-04 3.059480470e-04
-2.007317076e+00 0.000000000e+00 0.000000000e+00
-1.992276426e+00 1.578661398e-04 7.437559432e-04
-1.977235776e+00 4.924962286e-04 1.317054584e-03
-1.962195125e+00 -1.177924462e-03 6.087483630e-04
-1.947154475e+00 1.912971575e-03 1.666399335e-03
-1.932113825e+00 1.604138363e-03 1.040416094e-03
-1.917073174e+00 7.757411405e-04 6.392839573e-04
-1.902032524e+00 0.000000000e+00 0.000000000e+00
-1.886991874e+00 2.800054788e-04 9.023911356e-04
-1.871951223e+00 -7.356332194e-04 4.396902135e-04
-1.856910573e+00 1.586761108e-03 8.749656306e-04
-1.841869922e+00 -6.183237274e-05 7.808320952e-04
-1.826829272e+00 -6.778820079e-04 5.410903069e-04
-1.811788622e+00 -8.797586829e-04 5.266967439e-04
-1.796747971e+00 0.000000000e+00 0.000000000e+00
-1.781707321e+00 1.815855154e-03 1.143580171e-03
